program,size_bytes,run,elapsed_sec
proc,10000,1,0.00
thread,10000,1,0.00
proc,10000,2,0.01
thread,10000,2,0.01
proc,10000,3,0.00
thread,10000,3,0.01
proc,10000,4,0.00
thread,10000,4,0.00
proc,10000,5,0.00
thread,10000,5,0.01
proc,100000,1,0.02
thread,100000,1,0.01
proc,100000,2,0.03
thread,100000,2,0.01
proc,100000,3,0.02
thread,100000,3,0.01
proc,100000,4,0.02
thread,100000,4,0.01
proc,100000,5,0.01
thread,100000,5,0.01
proc,1000000,1,0.24
thread,1000000,1,0.19
proc,1000000,2,0.43
thread,1000000,2,0.12
proc,1000000,3,0.33
thread,1000000,3,0.18
proc,1000000,4,0.48
thread,1000000,4,0.12
proc,1000000,5,0.34
thread,1000000,5,0.10
proc,5000000,1,1.14
thread,5000000,1,0.77
proc,5000000,2,1.48
thread,5000000,2,0.44
proc,5000000,3,0.79
thread,5000000,3,0.34
proc,5000000,4,0.72
thread,5000000,4,0.36
proc,5000000,5,0.68
thread,5000000,5,0.32
proc,10000000,1,1.93
thread,10000000,1,1.06
proc,10000000,2,2.04
thread,10000000,2,0.71
proc,10000000,3,1.83
thread,10000000,3,0.82
proc,10000000,4,1.63
thread,10000000,4,0.68
proc,10000000,5,1.74
thread,10000000,5,0.72
